segment,fiscal_year,revenue,operating_income,source
HOKA,2022,891000000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
HOKA,2023,1414000000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
HOKA,2024,1807000000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
HOKA,2025,2233000000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
UGG,2022,1809000000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
UGG,2023,1918000000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
UGG,2024,2208000000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
UGG,2025,2533000000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
Other,2022,450339000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
Other,2023,295286000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
Other,2024,272763000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
Other,2025,219612000,,"Deckers 10-K brand net sales; HOKA/UGG per segment footnote, Other = reported total less HOKA+UGG (ties to XBRL revenue)"
